Unit,bbyy Low Mass BDT tight,,,bbyy Low Mass BDT loose,,,bbyy High Mass BDT tight,,,bbyy High Mass BDT loose,,,bbtautau hadhad (Christina),,,bbtautau lephad (Jordan),,,
kl,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,SLT ggF+VBF Signal yields,LTT ggF+VBF Signal yields,Cross section,Branching ratio
3.8,0.3012904968,46.71212278,,0.60838236,46.71212278,,0.324528616,46.71212278,,0.1527110632,46.71212278,,3.7757,46.59874,,5.1647,1.3915,46.59874,
4,0.35923612,55.17110884,,0.7205317,55.17110884,,0.3648451,55.17110884,,0.18032448,55.17110884,,4.341,55.0404,,6.0042,1.6383,55.0404,
4.2,0.4225174408,64.62492043,,0.8426066,64.62492043,,0.415952856,64.62492043,,0.2137585992,64.62492043,,4.9999,64.47554,,6.9653,1.9189,64.47554,
4.4,0.4911344592,75.07355757,,0.97460706,75.07355757,,0.477851884,75.07355757,,0.2530134208,75.07355757,,5.7523,74.90416,,8.0478,2.2333,74.90416,
4.6,0.5650871752,86.51702025,,1.11653308,86.51702025,,0.550542184,86.51702025,,0.2980889448,86.51702025,,6.5983,86.32626,,9.2519,2.5817,86.32626,
4.8,0.6443755888,98.95530848,,1.26838466,98.95530848,,0.634023756,98.95530848,,0.3489851712,98.95530848,,7.5379,98.74184,,10.5773,2.9637,98.74184,
5,0.7289997,112.3884222,,1.4301618,112.3884222,,0.7282966,112.3884222,,0.4057021,112.3884222,,8.571,112.1509,,12.0242,3.3797,112.1509,
5.2,0.8189595088,126.8163616,,1.6018645,126.8163616,,0.833360716,126.8163616,,0.4682397312,126.8163616,,9.6975,126.55344,,13.5924,3.8294,126.55344,
5.4,0.9142550152,142.2391264,,1.78349276,142.2391264,,0.949216104,142.2391264,,0.5365980648,142.2391264,,10.9176,141.94946,,15.2822,4.313,141.94946,
5.6,1.014886219,158.6567168,,1.97504658,158.6567168,,1.075862764,158.6567168,,0.6107771008,158.6567168,,12.2311,158.33896,,17.0932,4.8303,158.33896,
5.8,1.120853121,176.0691327,,2.17652596,176.0691327,,1.213300696,176.0691327,,0.6907768392,176.0691327,,13.638,175.72194,,19.0255,5.3815,175.72194,
6,1.23215572,194.4763742,,2.3879309,194.4763742,,1.3615299,194.4763742,,0.77659728,194.4763742,,15.1382,194.0984,,21.0793,5.9665,194.0984,
6.2,1.348794017,213.8784412,,2.6092614,213.8784412,,1.520550376,213.8784412,,0.8682384232,213.8784412,,16.7319,213.46834,,23.2543,6.5852,213.46834,
6.4,1.470768011,234.2753338,,2.84051746,234.2753338,,1.690362124,234.2753338,,0.9657002688,234.2753338,,18.4189,233.83176,,25.5506,7.2377,233.83176,
6.6,1.598077703,255.6670519,,3.08169908,255.6670519,,1.870965144,255.6670519,,1.068982817,255.6670519,,20.1993,255.18866,,27.9682,7.924,255.18866,
6.8,1.730723093,278.0535956,,3.33280626,278.0535956,,2.062359436,278.0535956,,1.178086067,278.0535956,,22.0731,277.53904,,30.5071,8.6441,277.53904,
7,1.86870418,301.4349648,,3.593839,301.4349648,,2.264545,301.4349648,,1.29301002,301.4349648,,24.0402,300.8829,,33.1672,9.398,300.8829,
7.2,2.012020965,325.8111595,,3.8647973,325.8111595,,2.477521836,325.8111595,,1.413754675,325.8111595,,26.1006,325.22024,,35.9487,10.1857,325.22024,
7.4,2.160673447,351.1821798,,4.14568116,351.1821798,,2.701289944,351.1821798,,1.540320033,351.1821798,,28.2543,350.55106,,38.8514,11.0071,350.55106,
7.6,2.314661627,377.5480256,,4.43649058,377.5480256,,2.935849324,377.5480256,,1.672706093,377.5480256,,30.5015,376.87536,,41.8754,11.8624,376.87536,
7.8,2.473985505,404.9086969,,4.73722556,404.9086969,,3.181199976,404.9086969,,1.810912855,404.9086969,,32.8419,404.19314,,45.0207,12.7514,404.19314,
8,2.63864508,433.2641939,,5.0478861,433.2641939,,3.4373419,433.2641939,,1.95494032,433.2641939,,35.2755,432.5044,,48.2872,13.6742,432.5044,
8.2,2.808640353,462.6145163,,5.3684722,462.6145163,,3.704275096,462.6145163,,2.104788487,462.6145163,,37.8025,461.80914,,51.675,14.6308,461.80914,
8.4,2.983971323,492.9596643,,5.69898386,492.9596643,,3.981999564,492.9596643,,2.260457357,492.9596643,,40.4229,492.10736,,55.184,15.6212,492.10736,
8.6,3.164637991,524.2996378,,6.03942108,524.2996378,,4.270515304,524.2996378,,2.421946929,524.2996378,,43.1366,523.39906,,58.8144,16.6452,523.39906,
8.8,3.350640357,556.6344369,,6.38978386,556.6344369,,4.569822316,556.6344369,,2.589257203,556.6344369,,45.9435,555.68424,,62.5658,17.7032,555.68424,
9,3.54197842,589.9640615,,6.7500722,589.9640615,,4.8799206,589.9640615,,2.76238818,589.9640615,,48.8437,588.9629,,66.4387,18.7949,588.9629,
9.2,3.738652181,624.2885117,,7.1202861,624.2885117,,5.200810156,624.2885117,,2.941339859,624.2885117,,51.8373,623.23504,,70.4327,19.9203,623.23504,
9.4,3.940661639,659.6077874,,7.50042556,659.6077874,,5.532490984,659.6077874,,3.126112241,659.6077874,,54.9242,658.50066,,74.548,21.0796,658.50066,
9.6,4.148006795,695.9218886,,7.89049058,695.9218886,,5.874963084,695.9218886,,3.316705325,695.9218886,,58.1043,694.75976,,78.7845,22.2727,694.75976,
9.8,4.360687649,733.2308154,,8.29048116,733.2308154,,6.228226456,733.2308154,,3.513119111,733.2308154,,61.3778,732.01234,,83.1423,23.4995,732.01234,
10,4.5787042,771.5345677,,8.7003973,771.5345677,,6.5922811,771.5345677,,3.7153536,771.5345677,,64.7774,770.2584,,87.6527,24.7689,770.2584,
