mass,r_br_yy_bb,exp_limit,obs_limit
300,0.0032,0.355814,0.316331
300,0.0033,0.349018,0.310594
300,0.0034,0.342431,0.304833
300,0.0035,0.336042,0.299668
300,0.0036,0.329587,0.294418
300,0.0037,0.323562,0.289332
300,0.0038,0.317718,0.284371
300,0.0039,0.312049,0.279583
300,0.0040,0.306547,0.274919
300,0.0041,0.301208,0.270404
300,0.0042,0.296026,0.265985
300,0.0043,0.290995,0.261886
300,0.0044,0.286110,0.257655
300,0.0045,0.281366,0.253778
300,0.0046,0.276757,0.249671
300,0.0047,0.272279,0.245843
300,0.0048,0.267928,0.242078
300,0.0049,0.263698,0.238455
300,0.0050,0.259585,0.234935
300,0.0051,0.255585,0.231456
300,0.0052,0.251694,0.228121
300,0.0053,0.247914,0.224725
300,0.0054,0.244230,0.221716
300,0.0055,0.240644,0.218632
300,0.0056,0.237152,0.215565
300,0.0057,0.233752,0.212517
300,0.0058,0.230439,0.209706
300,0.0059,0.227211,0.206918
300,0.0060,0.224066,0.204170
300,0.0070,0.196550,0.179983
300,0.0080,0.174754,0.160606
300,0.0090,0.156941,0.144871
300,0.0100,0.142429,0.131889
300,0.0200,0.073283,0.068747
300,0.0300,0.049101,0.046339
300,0.0400,0.036903,0.034921
300,0.0500,0.029551,0.028009
350,0.0000,0.307149,0.166367
350,0.0001,0.306888,0.167673
350,0.0002,0.306133,0.168288
350,0.0003,0.304928,0.169231
350,0.0004,0.303320,0.170479
350,0.0005,0.301358,0.171331
350,0.0006,0.299081,0.171560
350,0.0007,0.296535,0.171763
350,0.0008,0.293758,0.171922
350,0.0009,0.290787,0.172317
350,0.0010,0.287655,0.172300
350,0.0011,0.284390,0.172233
350,0.0012,0.281018,0.172014
350,0.0013,0.277564,0.171977
350,0.0014,0.274046,0.171440
350,0.0015,0.270483,0.171032
350,0.0016,0.266890,0.170524
350,0.0017,0.263282,0.170038
350,0.0018,0.259669,0.169408
350,0.0019,0.256061,0.168712
350,0.0020,0.252469,0.167971
350,0.0021,0.248898,0.166972
350,0.0022,0.245370,0.166132
350,0.0023,0.241863,0.165275
350,0.0024,0.238395,0.164572
350,0.0025,0.234969,0.163407
350,0.0026,0.231588,0.162647
350,0.0027,0.228258,0.161416
350,0.0028,0.224976,0.160390
350,0.0029,0.221746,0.159340
350,0.0030,0.218570,0.158282
350,0.0031,0.215448,0.157208
350,0.0032,0.212381,0.156121
350,0.0033,0.209378,0.155024
350,0.0034,0.206422,0.153921
350,0.0035,0.203394,0.152820
350,0.0036,0.200539,0.151714
350,0.0037,0.197740,0.150579
350,0.0038,0.194995,0.149462
350,0.0039,0.192303,0.148350
350,0.0040,0.189666,0.147236
350,0.0041,0.187080,0.146126
350,0.0042,0.184547,0.144995
350,0.0043,0.182065,0.143892
350,0.0044,0.179633,0.142789
350,0.0045,0.177251,0.141693
350,0.0046,0.174917,0.140609
350,0.0047,0.172630,0.139531
350,0.0048,0.170391,0.138458
